Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8532.0,Poland,Myszkow,52.0,Moderate,1.0,Good,44.0,Good,1.0,Good,52.0,L1,139.8006362,12.2898276,L1
8533.0,Thailand,Na Klang,74.0,Moderate,1.0,Good,12.0,Good,4.0,Good,74.0,L1,203.8319452,1.376204262,L1
8534.0,United Republic of Tanzania,Naberera,17.0,Good,1.0,Good,17.0,Good,0.0,Good,12.0,L0,60.16330268,5.950162838,L0
8535.0,Honduras,Nacaome,68.0,Moderate,1.0,Good,27.0,Good,1.0,Good,68.0,L1,182.0993275,6.12716545,L1
8536.0,Philippines,Naga,72.0,Moderate,1.0,Good,20.0,Good,1.0,Good,72.0,L1,191.3854332,7.127093501,L1
8537.0,India,Nagari,112.0,Unhealthy for Sensitive Groups,1.0,Good,38.0,Good,4.0,Good,112.0,L2,130.39634565,9.260071361,L2
8538.0,Japan,Nago,54.0,Moderate,1.0,Good,23.0,Good,1.0,Good,54.0,L1,143.3208146,-2.457828112,L1
8539.0,,Nagua,112.0,Unhealthy for Sensitive Groups,1.0,Good,39.0,Good,1.0,Good,112.0,L2,130.39634565,0.418270038,L2
8540.0,Germany,Taunusstein,61.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,56.0,L1,154.2921614,-3.040239796,L1
8541.0,Lithuania,Taurage,35.0,Good,1.0,Good,35.0,Good,0.0,Good,22.0,L0,78.87956629,4.746505304,L0
8542.0,Poland,Tczew,37.0,Good,1.0,Good,37.0,Good,0.0,Good,24.0,L0,90.661511,-2.816721661,L0
8543.0,Honduras,Tela,79.0,Moderate,1.0,,21.0,Good,0.0,Good,79.0,L1,202.4084096,-6.105235885,L1
8544.0,United States of America,Temecula,66.0,Moderate,1.0,Good,14.0,Good,1.0,Good,66.0,L1,170.6078537,4.412613317,L1
