Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
11066.0,United States of America,Rome,67.0,Moderate,1.0,Good,31.0,Good,1.0,Good,67.0,L1,14.17595905
11067.0,Democratic Republic of the Congo,Kananga,50.0,Unhealthy,1.0,Good,35.0,Good,4.0,Good,50.0,L3,4.2395104225
11068.0,,Kanda,37.0,Good,1.0,,37.0,Good,2.0,Good,31.0,L0,6.038506739
11069.0,Sri Lanka,Kandy,54.0,Moderate,1.0,Good,21.0,Good,0.0,Good,54.0,L1,1.757199426
11070.0,Iran (Islamic Republic of),Karaj,50.0,Very Unhealthy,1.0,Good,31.0,Very Unhealthy,7.0,Good,50.0,L3,14.81821292
11071.0,Japan,Kaseda,29.0,Good,1.0,Good,29.0,Good,1.0,Good,28.0,L0,10.09005286
11072.0,Kenya,Kericho,84.0,Moderate,1.0,Good,25.0,Good,1.0,Good,84.0,L1,-6.775326415
11073.0,Pakistan,Khairpur,50.0,Unhealthy,1.0,,44.0,Good,0.0,Good,50.0,L3,9.223089954
11074.0,Pakistan,Khanewal,50.0,Unhealthy,1.0,Good,31.0,Unhealthy,1.0,Good,50.0,L3,15.13516532
11075.0,India,Kharakvasla,100.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Good,1.0,Good,100.0,L2,6.30531624
11076.0,Burundi,Bubanza,84.0,Moderate,1.0,Good,23.0,Good,1.0,Good,84.0,L1,5.813187886
11077.0,India,Buxar,50.0,Unhealthy,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L3,1.63863776
11078.0,Portugal,Caldas Da Rainha,22.0,Good,1.0,Good,31.0,Good,5.0,Good,22.0,L0,15.60922843
11079.0,Spain,Cambrils,41.0,Good,1.0,Good,31.0,Good,1.0,Good,30.0,L0,-0.724918433
11080.0,United States of America,Cameron Park,71.0,Moderate,1.0,Good,22.0,Good,1.0,Good,71.0,L1,13.18820786
11081.0,Canada,Camrose,67.0,Moderate,1.0,Good,32.0,Good,2.0,Good,67.0,L1,5.752556622
11082.0,Costa Rica,Canas,55.0,Moderate,1.0,Good,5.0,Good,7.0,Good,55.0,L1,14.02915403
11083.0,United Kingdom of Great Britain and Northern Ireland,Cannock,33.0,Good,1.0,Good,33.0,Good,3.0,Good,21.0,L0,2.208699178
11084.0,Italy,Carlentini,66.0,Moderate,1.0,,44.0,Good,1.0,Good,66.0,L1,-4.237904618
